instance_id,resolved,exit_status,steps,looping,edit_syntax_errors,ran_tests,hit_context_limit,has_patch
3YOURMIND__django-migration-linter-258,False,exit_context,159,True,True,True,True,False
3YOURMIND__django-migration-linter-258,False,submitted (exit_context),73,True,False,True,True,True
3YOURMIND__django-migration-linter-258,False,submitted (exit_context),187,True,False,False,True,True
3YOURMIND__django-migration-linter-258,False,submitted (exit_context),141,True,True,False,True,True
3YOURMIND__django-migration-linter-258,False,submitted (exit_context),73,True,False,True,True,True
3YOURMIND__django-migration-linter-258,False,submitted (exit_context),153,True,True,False,True,True
3YOURMIND__django-migration-linter-258,False,submitted,23,False,False,True,False,True
3YOURMIND__django-migration-linter-258,False,submitted (exit_context),101,True,False,True,True,True
3YOURMIND__django-migration-linter-258,False,submitted,29,True,True,False,False,True
3YOURMIND__django-migration-linter-258,False,submitted (exit_context),287,True,True,False,True,True
3YOURMIND__django-migration-linter-258,False,submitted,11,False,False,True,False,True
3YOURMIND__django-migration-linter-258,False,submitted (exit_context),81,True,False,False,True,True
3YOURMIND__django-migration-linter-258,False,submitted (exit_context),187,True,False,False,True,True
3YOURMIND__django-migration-linter-258,False,submitted (exit_context),357,True,True,True,True,True
3YOURMIND__django-migration-linter-258,False,submitted (exit_context),89,True,True,False,True,True
3YOURMIND__django-migration-linter-258,False,submitted (exit_context),67,True,True,False,True,True
3YOURMIND__django-migration-linter-258,False,submitted (exit_context),179,True,True,False,True,True
3YOURMIND__django-migration-linter-258,False,submitted (exit_context),79,True,False,True,True,True
3YOURMIND__django-migration-linter-258,False,submitted (exit_context),91,True,True,True,True,True
3YOURMIND__django-migration-linter-258,False,submitted (exit_context),367,True,False,False,True,True
3YOURMIND__django-migration-linter-258,False,submitted (exit_context),87,True,True,False,True,True
3YOURMIND__django-migration-linter-258,False,submitted (exit_context),87,True,True,True,True,True
3YOURMIND__django-migration-linter-258,False,submitted (exit_context),121,True,True,True,True,True
3YOURMIND__django-migration-linter-258,False,submitted (exit_context),341,False,True,False,True,True
ARMmbed__greentea-263,False,submitted,13,False,True,True,False,True
ARMmbed__greentea-263,False,submitted,15,False,True,True,False,True
ARMmbed__greentea-263,False,submitted,21,False,True,True,False,True
ARMmbed__greentea-263,False,submitted,13,False,True,True,False,True
ARMmbed__greentea-263,False,submitted,15,False,True,True,False,True
ARMmbed__greentea-263,False,submitted (exit_context),89,True,True,True,True,True
ARMmbed__greentea-263,False,submitted,49,True,True,True,False,True
ARMmbed__greentea-263,False,submitted_no_patch,17,False,True,True,False,False
ARMmbed__greentea-263,False,submitted,13,False,True,True,False,True
ARMmbed__greentea-263,False,submitted,21,False,True,True,False,True
ARMmbed__greentea-263,False,submitted,13,False,True,True,False,True
ARMmbed__greentea-263,False,submitted (exit_context),71,True,True,True,True,True
ARMmbed__greentea-263,False,submitted,17,False,True,True,False,True
